,link
0,/europe/memorials/abbatstvo_sv_mikhaila_sint_michielsabdij/
1,/europe/memorials/abbatstvo_sen_deni_abbaye_de_saint_denis/
2,/europe/memorials/antiko_ospedale_madzhore_antico_ospedale_maggiore/
3,/europe/memorials/arsenal_estoniya/
4,/europe/memorials/arsenal_arsenal/
5,/europe/memorials/aeroport_parizh_orli_a_roport_de_paris_orly/
6,/europe/memorials/bazilika_sv_amvrosiya_mediolanskogo_basilica_di_sant_ambrogio/
7,/europe/memorials/bazilika_sv_nikolaya_chudotvortsa_basilica_pontificia_di_s_nicola_il_taumaturgo/
8,/europe/memorials/banya_petra_peeter_i_saun/
9,/europe/memorials/bersi_bercy/
10,/europe/memorials/birzha_beurs/
11,/europe/memorials/bodlianskaya_biblioteka_the_bodleian_library/
12,/europe/memorials/bolshoy_trianon_le_grand_trianon/
13,/europe/memorials/botanicheskiy_sad_jardin_des_plantes/
14,/europe/memorials/byust_petra_velikogo_buste_van_peter_de_grote/
15,/europe/memorials/byust_petra_velikogo_na_skale_petrova_vysota_busta_petra_velik_ho_na_petrov_v_in_/
16,/europe/memorials/byust_tsarya_petra_i_borstbeeld_van_czaar_peter_de_grote/
17,/europe/memorials/byust_tsarya_petra_i_v_zaandame/
18,/europe/memorials/venetsianskiy-arsenal-l-arsenale-di-venezia/
19,/europe/memorials/geroldmeysterskiy_i_korolevskiy_otel_the_king_s_arms_and_royal_hotel/
20,/europe/memorials/gorelef_na_stene_khrama_svyatykh_pervoverkhovnykh_apostolov_petra_i_pavla/
21,/europe/memorials/gorodskoy_dvorets_petra_i_peeter_i_linnapalee/
22,/europe/memorials/gorodskoy_muzey_g_perasta_muzej_grada_perasta_muze_grada_perasta/
23,/europe/memorials/gostinitsa_goluboy_yakor_the_blue_anchor_inn/
24,/europe/memorials/gostinitsa_greys_nil_grace_neill_s_bar/
25,/europe/memorials/gostinitsa_kross_the_cross_inn/
26,/europe/memorials/grobnitsa_usypalnitsa_ferentsa_ii_rakotsi_v_kafedralnom_sobore_svyatoy_elizavety_r_k_czi_kripta_szen/
27,/europe/memorials/gusinaya_bashnya_gaasetaarnet_g_set_rnet/
28,/europe/memorials/dvorets_v_bolshom_sadu_palais_in_gro_en_garten/
29,/europe/memorials/dvorets_v_kadriorge_i_park_kadriorg_kadrioru_loss/
30,/europe/memorials/dvorets_i_mavzoley_semi_zmaevichey_s_tserkovyu_madonny_ruzariya_palata_zma_evi_zvonik_tsrkva_gospe_o/
31,/europe/memorials/dvorets_i_park_augarten_palais_und_park_augarten/
32,/europe/memorials/dvorets_i_park_versal_ch_teau_de_versaiiles/
33,/europe/memorials/dvorets_i_park_marli_ch_teau_de_marly/
34,/europe/memorials/dvorets_i_park_peti_bur_ch_teau_de_petit_bourg/
35,/europe/memorials/dvorets_i_park_sen_zhermen_an_le_ch_teau_de_saint_germain_en_laye/
36,/europe/memorials/dvorets_i_park_sen_klu_ch_teau_de_saint_cloud/
37,/europe/memorials/dvorets_i_park_fontenblo_ch_teau_de_fontainebleau/
38,/europe/memorials/dvorets_i_park_shuazi_ch_teau_de_choisy/
39,/europe/memorials/dvorets_martinovichey_xvi_v_palata_martinovi_palata_martinovi_/
40,/europe/memorials/dvorets_martinovichey_xvii_v_braykovichey_martinovichey_palata_brajkovi_martinovi_palata_brajkovi_ma/
41,/europe/memorials/dvorets_petra_velikogo_peeter_i_loss/
42,/europe/memorials/dvorets_pravosudiya_palais_de_justice/
43,/europe/memorials/dvorets_slushkov_slu_k_r_mai/
44,/europe/memorials/dvorets_favorita_palais_favorita/
45,/europe/memorials/dvorets_fraykhauz_palais_freihaus/
46,/europe/memorials/dom_belyy_zayats_d_m_b_l_zaj_c_weisser_hase/
47,/europe/memorials/dom_petr_velikiy_v_baasrode_pierre_le_grand_baasrode/
48,/europe/memorials/dom_a_d_menshikova_lay_d_15_men_ikovi_maja_lai_15/
49,/europe/memorials/dom_a_d_menshikova_lay_d_17_men_ikovi_maja_lai_17/
50,/europe/memorials/dom_bratstva_chernogolovykh_mustpeade_maja/
51,/europe/memorials/dom_burgomistra_shtafenkhagena_stafenhagena_nams/
52,/europe/memorials/dom_dannenshterna_danen_terna_nams/
53,/europe/memorials/dom_invalidov_h_tel_national_des_invalides/
54,/europe/memorials/dom_yoganna_khuka_huecki_maja/
55,/europe/memorials/dom_komendanta_komandandimaja/
56,/europe/memorials/dom_na_meste_kuznechnoy_masterskoy_d_m_na_m_st_star_ho_hamru/
57,/europe/memorials/dom_po_ul_yaani_d_20_elamu_jaani_t_20/
58,/europe/memorials/dom_rytsarstva_r_telkonna_hoone/
59,/europe/memorials/dom_f_m_apraksina_apraksini_maja/
60,/europe/memorials/dom_shlippenbakha_schlippenbachi_maja/
61,/europe/memorials/dom-muzey-petra-i-v-talline-peeter-i-majamuuseum/
62,/europe/memorials/domik-petra-i-v-liepae/
63,/europe/memorials/domskiy_sobor_v_roskille_domkirke_i_roskilde/
64,/europe/memorials/domskiy_sobor_kopengagena_k_benhavns_domkirke/
65,/europe/memorials/duby_pastora_glyuka/
66,/europe/memorials/eliseyskie_polya_avenue_champs_lys_es/
67,/europe/memorials/zamok_kristiansborg_k_benhavns_slot/
68,/europe/memorials/zamok_rozenborg_rosenborg_slot/
69,/europe/memorials/zamok_sv_elma_castel_s_elmo/
70,/europe/memorials/zamok_sfortsa_v_milane_castello_sforzesco_di_milano/
71,/europe/memorials/zamok_frederiksberg_zamok_frederiksberg/
72,/europe/memorials/zamok_froydenshtayn_schloss_freudenstein/
73,/europe/memorials/istochnik_zheronster_source_g_ronst_re/
74,/europe/memorials/istochnik_petra_velikogo_pouhon_pierre_le_grand/
75,/europe/memorials/kyenigskhaus_k_nigshaus/
76,/europe/memorials/kamen_petra_i_petera_i_akmens/
77,/europe/memorials/karlovarskiy_istoriko_kraevedcheskiy_muzey_karlovarsk_muzeum/
78,/europe/memorials/kafedralnyy_sobor_sv_georgiya_pobedonostsa_chiesa_cattedrale_di_san_giorgio/
79,/europe/memorials/kayushchayasya_mariya_magdalina_marie_madeleine_repentante/
80,/europe/memorials/kolledzh_chetyryekh_natsiy_coll_ge_des_quatre_nations/
81,/europe/memorials/konnyy_pamyatnik_petru_i_v_rige/
82,/europe/memorials/korolevskaya_rezidentsiya_medon_ch_teau_de_meudon/
83,/europe/memorials/korolevskie_doma/
84,/europe/memorials/korolevskiy_dvorets_v_neapole_palazzo_reale_di_napoli/
85,/europe/memorials/koshem_cosham/
86,/europe/memorials/krepost_kyenigshteyn_festung_k_nigstein/
87,/europe/memorials/krepost_kristiansye_f_stningen_christians_/
88,/europe/memorials/krepost_marienburg_v_aluksne/
89,/europe/memorials/krepost_khammerskhus_derevni_allinge_i_sendvig_o_bornkholm_hammershus_allinge_og_sandvig_bornholm/
90,/europe/memorials/krest_petra_i_na_skale_oleniy_skok_k_vyhl_dka_jelen_skok/
91,/europe/memorials/kronborg_kronborg/
92,/europe/memorials/kruglaya_bashnya_rundet_rn/
93,/europe/memorials/luvr_mus_e_du_louvre/
94,/europe/memorials/lyuksemburgskiy_dvorets_palais_du_luxembourg/
95,/europe/memorials/malin_malines/
96,/europe/memorials/memorial_vitusu_beringu/
97,/europe/memorials/memorialnaya_doska_v_pamyat_uchastiya_petra_i_v_stroitelstve_doma_u_pavlina/
98,/europe/memorials/memorialnaya-doska-grafu-kh-a-minikhu-v-lyuteranskoy-tserkvi-sv-petra/
99,/europe/memorials/memorialnaya_doska_e_i_ukraintsevu_ukraincev_jemeljan_orosz_diplomata_eml_kt_bl_ja/
100,/europe/memorials/memorialnaya_doska_karlu_xii_v_budapeshte_xii_k_roly_eml_kt_bl_ja/
101,/europe/memorials/memorialnaya_doska_karlu_xii_v_debretsene_xii_k_roly_eml_kt_bl_ja/
102,/europe/memorials/memorialnaya_doska_printsu_aleksandru_bagrationi_bronzen_relief_van_prins_alexander_bagrationi/
103,/europe/memorials/memorialnye_doski_petru_i_na_skale_petrova_vysota/
104,/europe/memorials/mesto_provedeniya_alandskogo_kongressa_1718_1719_godov_landskongressen_p_l_v_1718_1719/
105,/europe/memorials/mogila_marko_martinovicha_na_o_sv_georgiya/
106,/europe/memorials/monastyr-cv-avgustin-augustinerkloster/
107,/europe/memorials/monastyr_poseshcheniya_sv_mariey_sv_elizavety_v_shayo_couvent_de_la_visitation_sainte_marie_de_chail/
108,/europe/memorials/monument_v_pamyat_o_pozhare_1666_goda_the_monument_to_the_great_fire_of_london/
109,/europe/memorials/morskoy_muzey_chernogorii_pomorski_muzej_crne_gore/
110,/europe/memorials/muzey_albertinum_museum_albertinum/
111,/europe/memorials/myza_maardu_maardu_m_is/
112,/europe/memorials/myza_padize_padise_m_is/
113,/europe/memorials/myza_ungru_ungru_m_is/
114,/europe/memorials/myza_kharku_harku_m_is/
115,/europe/memorials/narvskaya_krepost_narva_linnus/
116,/europe/memorials/natsionalnaya_manufaktura_gobelenov_manufacture_nationale_des_gobelins/
117,/europe/memorials/norfolk_strit_rechnaya_storona_norfolk_street_the_water_side/
118,/europe/memorials/notr_dam_sobor_parizhskoy_bogomateri_notre_dame_de_paris/
119,/europe/memorials/oleniy_park_dyrehaven/
120,/europe/memorials/otel_lediger_h_tel_de_lesdigi_res/
121,/europe/memorials/pale_royal_palais_royal/
122,/europe/memorials/pamyatnik_zashchitnikam_ostrova_lutsavsala/
123,/europe/memorials/pamyatnik_knyazyu_ferentsu_ii_rakotsi_r_k_czi_ferenc_szobra/
124,/europe/memorials/pamyatnik_kontr_admiralu_shvedskogo_flota_erensheldu_erenski_ldin_muistomerkki/
125,/europe/memorials/pamyatnik_marko_martinovichu_statua_marka_martinovi_a/
126,/europe/memorials/pamyatnik_matiyu_zmaevichu_statua_mati_a_zma_evi_a_bista_matije_zmajevi_a/
127,/europe/memorials/pamyatnik_na_bolshom_ostrove_grosskholm_suursaar_v_pamyat_200_letnego_yubileya_petra_i/
128,/europe/memorials/pamyatnik_petru_i_v_narve_peeter_i_ausammas/
129,/europe/memorials/pamyatnik_petru_i_v_parke_rossiykogo_posolstva_v_londone_statue_of_peter_the_great_1998_embassy_of_t/
130,/europe/memorials/pamyatnik-petru-i-v-talline-peeter-i-ausammas/
131,/europe/memorials/pamyatnik_petru_i_u_otelya_aberg_v_karlovykh_varakh_car_v_pomn_k_na_abergu_doubsk_hora/
132,/europe/memorials/pamyatnik_petru_velikomu_v_antverpene_peter_de_grote_standbeeld/
133,/europe/memorials/pamyatnik_pogibshim_uchastnikam_gangutskoy_morskoy_batalii_riilahden_monumentti/
134,/europe/memorials/pamyatnik_russkim_voinam_pavshim_pri_shturme_narvy_9_08_1704_goda_monument_p_hjas_jas_1704_a_langenu/
135,/europe/memorials/pamyatnik_soldatam_leyb_gvardii_preobrazhenskogo_i_semyenovskogo_polkov_pavshim_v_boyu_pod_narvoy_v_/
136,/europe/memorials/pamyatnoe-derevo-v-chest-300-letiya-vizita-petra-v-parizh/
137,/europe/memorials/pamyatnyy-znak-troitse-petrovskiy-sobor/
138,/europe/memorials/pamyatnyy_znak_v_pamyat_o_zaklyuchenii_nishtatskogo_mirnogo_dogovora_1721_goda_uudenkaupungin_rauhan/
139,/europe/memorials/pamyatnyy_znak_vysechennyy_petrom_i_v_1719_godu_tsar_peter_den_stores_ber_mda_ristning_fr_n_sommaren/
140,/europe/memorials/parizhskaya_observatoriya_observatoire_de_paris/
141,/europe/memorials/portsmut_zamok_sautsi_portsmouth_southsea_castle/
142,/europe/memorials/portsmut_verfi_morskoy_flot_portsmouth_dockyards_fleet/
143,/europe/memorials/portsmut_dom_gubernatora_portsmouth_governor_s_house/
144,/europe/memorials/portsmut_memorialnaya_doska_portsmouth_plaque/
145,/europe/memorials/postoyalyy_dvor_belyy_olen_pitersfild_the_white_hart_inn_petersfield/
146,/europe/memorials/ratushnaya_apteka_raeapteek/
147,/europe/memorials/roter_adler_roter_adler/
148,/europe/memorials/rotonda_slavy_v_aluksne/
149,/europe/memorials/russkaya_ulitsa_orosz_utca/
150,/europe/memorials/sad_tyuilri_jardin_des_tuilerie/
151,/europe/memorials/svyato_dukhov_pravoslavnyy_muzhskoy_monastyr/
152,/europe/memorials/sen_sir_korolevskiy_dom_svyatogo_lyudovika_saint_cyr_maison_royale_de_saint_louis/
153,/europe/memorials/sobor_antverpenskoy_bogomateri_onze_lieve_vrouwe_kathedraal/
154,/europe/memorials/sobor_uspeniya_presvyatoy_bogoroditsy_jumalaema_uinumise_peakirik/
155,/europe/memorials/sobor_uspeniya_svyatoy_marii_duomo_di_santa_maria_assunta/
156,/europe/memorials/sorbonna_sorbonne/
157,/europe/memorials/starocheshskiy_restoran_i_otel_petr_staro_esk_restorant_a_hotel_petr_/
158,/europe/memorials/taverna_moskovskogo_tsarya_public_house_czars_of_moscow_tavern_/
159,/europe/memorials/tallinskaya_ratusha_tallinna_raekoda/
160,/europe/memorials/teatr_del_fondo_teatro_del_fondo/
161,/europe/memorials/teatr-san-samuele-teatro-san-samuele/
162,/europe/memorials/ulitsa_ottsa_i_syna_rastrelli_via_dei_rastrelli/
163,/europe/memorials/ulitsa_petra_velikogo_v_karlovykh_varakh_ul_petra_velik_ho_karlovy_vary/
164,/europe/memorials/fontan_iz_doma_pridvornogo_yuvelira_dinglingera_dinglingerbrunnen/
165,/europe/memorials/fontan_marii_magdaliny_la_fontaine_de_sainte_marie_madeleine/
166,/europe/memorials/khindkhed-hindhead/
167,/europe/memorials/kholmen_kholmen_holmen/
168,/europe/memorials/tsarskiy_dom_czarens_hus/
169,/europe/memorials/tseykhgauz_am_khof_b_rgerliches_zeughaus_am_hof/
170,/europe/memorials/tseykhgauz_imperatorskiy_kaiserliches_zeughaus/
171,/europe/memorials/tserkov_niguliste_niguliste_kirik/
172,/europe/memorials/tserkov_preobrazheniya_gospodnya_issanda_muutmise_kirik/
173,/europe/memorials/tserkov_rozhdestva_presvyatoy_bogoroditsy_jumalaema_s_ndimise_kaasani_kirik/
174,/europe/memorials/tserkov_sv_karlo_borromeo_sint_carolus_borromeus_kerk/
175,/europe/memorials/tserkov_sv_paraskevy_pyatnitsy/
176,/europe/memorials/tserkov_svyatitelya_nikolaya_chudotvortsa_nikolai_nnistaja_ja_imetegija_kirik/
177,/europe/memorials/chasovnya_kolledzha_svyatoy_i_nerazdelnoy_troitsy_v_oksfordskom_universitete_chapel_of_the_college_o/
178,/europe/memorials/sheldonskiy_teatr_the_sheldonian_theatre/
179,/europe/memorials/eshmoleanskiy_muzey_the_ashmolean_museum_/
